time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,3.9,333.33,3,250,0.90896,-0.12195,-1.0862
10,3.9,332.12,3,249.09,0.90761,-0.12166,-1.0852
20,3.9,330.9,3,248.18,0.90627,-0.12137,-1.0843
30,3.9,329.69,3,247.27,0.90492,-0.12108,-1.0833
40,3.9,328.48,3,246.36,0.90358,-0.1208,-1.0824
50,3.9,327.27,3,245.45,0.90224,-0.12051,-1.0814
60,3.9,326.07,3,244.55,0.9009,-0.12022,-1.0805
70,3.9,324.87,3,243.65,0.89956,-0.11993,-1.0795
80,3.9,323.67,3,242.75,0.89822,-0.11965,-1.0786
90,3.9,322.47,3,241.86,0.89689,-0.11936,-1.0776
100,3.9,321.28,3,240.96,0.89556,-0.11907,-1.0767
110,3.9,320.09,3,240.07,0.89423,-0.11879,-1.0757
120,3.9,318.91,3,239.18,0.8929,-0.1185,-1.0748
130,3.9,317.72,3,238.29,0.89157,-0.11822,-1.0738
140,3.9,316.54,3,237.41,0.89024,-0.11794,-1.0729
150,3.9,315.36,3,236.52,0.88892,-0.11765,-1.0719
160,3.9,314.19,3,235.64,0.88759,-0.11737,-1.071
170,3.9,313.02,3,234.76,0.88627,-0.11708,-1.07
180,3.9,311.85,3,233.89,0.88495,-0.1168,-1.0691
190,3.9,310.68,3,233.01,0.88363,-0.11652,-1.0682
200,3.9,309.52,3,232.14,0.88231,-0.11623,-1.0672
210,3.9,308.36,3,231.27,0.881,-0.11595,-1.0663
220,3.9,307.2,3,230.4,0.87968,-0.11567,-1.0654
230,3.9,306.04,3,229.53,0.87837,-0.11539,-1.0644
240,3.9,304.89,3,228.67,0.87705,-0.1151,-1.0635
250,3.9,303.74,3,227.81,0.87574,-0.11482,-1.0626
260,3.9,302.59,3,226.95,0.87443,-0.11454,-1.0616
270,3.9,301.45,3,226.09,0.87312,-0.11425,-1.0607
280,3.9,300.31,3,225.23,0.87181,-0.11397,-1.0598
290,3.9,299.17,3,224.38,0.8705,-0.11369,-1.0589
300,3.9,298.04,3,223.53,0.86919,-0.1134,-1.058
310,3.9,296.9,3,222.68,0.86789,-0.11312,-1.057
320,3.9,295.77,3,221.83,0.86658,-0.11284,-1.0561
330,3.9,294.65,3,220.98,0.86528,-0.11255,-1.0552
340,3.9,293.52,3,220.14,0.86397,-0.11227,-1.0543
350,3.9,292.4,3,219.3,0.86267,-0.11199,-1.0534
360,3.9,291.28,3,218.46,0.86137,-0.1117,-1.0525
370,3.9,290.17,3,217.62,0.86007,-0.11142,-1.0516
380,3.9,289.05,3,216.79,0.85877,-0.11113,-1.0507
390,3.9,287.94,3,215.96,0.85747,-0.11085,-1.0499
400,3.9,286.84,3,215.13,0.85617,-0.11056,-1.049
410,3.9,285.73,3,214.3,0.85487,-0.11027,-1.0481
420,3.9,284.63,3,213.47,0.85357,-0.10999,-1.0472
430,3.9,283.53,3,212.65,0.85227,-0.1097,-1.0463
440,3.9,282.44,3,211.83,0.85098,-0.10942,-1.0455
450,3.9,281.34,3,211.01,0.84968,-0.10913,-1.0446
460,3.9,280.25,3,210.19,0.84839,-0.10884,-1.0437
470,3.9,279.17,3,209.38,0.84709,-0.10855,-1.0429
480,3.9,278.08,3,208.56,0.8458,-0.10826,-1.042
490,3.9,277,3,207.75,0.84451,-0.10797,-1.0412
500,3.9,275.92,3,206.94,0.84321,-0.10768,-1.0403
510,3.9,274.85,3,206.14,0.84192,-0.10739,-1.0395
520,3.9,273.78,3,205.33,0.84063,-0.1071,-1.0386
530,3.9,272.71,3,204.53,0.83934,-0.10681,-1.0378
540,3.9,271.64,3,203.73,0.83805,-0.10652,-1.037
550,3.9,270.58,3,202.93,0.83676,-0.10623,-1.0361
560,3.9,269.52,3,202.14,0.83547,-0.10594,-1.0353
570,3.9,268.46,3,201.34,0.83418,-0.10564,-1.0345
580,3.9,267.4,3,200.55,0.8329,-0.10535,-1.0337
590,3.9,266.35,3,199.76,0.83161,-0.10506,-1.0329
600,3.9,265.3,3,198.98,0.83032,-0.10476,-1.0321
610,3.9,264.26,3,198.19,0.82904,-0.10447,-1.0313
620,3.9,263.21,3,197.41,0.82775,-0.10417,-1.0305
630,3.9,262.17,3,196.63,0.82646,-0.10387,-1.0297
640,3.9,261.13,3,195.85,0.82518,-0.10358,-1.0289
650,3.9,260.1,3,195.08,0.8239,-0.10328,-1.0281
660,3.9,259.07,3,194.3,0.82261,-0.10298,-1.0273
670,3.9,258.04,3,193.53,0.82133,-0.10268,-1.0266
680,3.9,257.02,3,192.76,0.82005,-0.10238,-1.0258
690,3.9,255.99,3,191.99,0.81877,-0.10208,-1.025
700,3.9,254.97,3,191.23,0.81748,-0.10178,-1.0243
710,3.9,253.96,3,190.47,0.8162,-0.10148,-1.0235
720,3.9,252.94,3,189.71,0.81492,-0.10118,-1.0228
730,3.9,251.93,3,188.95,0.81364,-0.10087,-1.0221
740,3.9,250.93,3,188.2,0.81237,-0.10057,-1.0213
750,3.9,249.92,3,187.44,0.81109,-0.10026,-1.0206
760,3.9,248.92,3,186.69,0.80981,-0.099959,-1.0199
770,3.9,247.92,3,185.94,0.80853,-0.099654,-1.0191
780,3.9,246.93,3,185.2,0.80726,-0.099348,-1.0184
790,3.9,245.94,3,184.45,0.80598,-0.099041,-1.0177
800,3.9,244.95,3,183.71,0.8047,-0.098733,-1.017
810,3.9,243.96,3,182.97,0.80343,-0.098425,-1.0163
820,3.9,242.98,3,182.23,0.80216,-0.098116,-1.0156
830,3.9,242,3,181.5,0.80088,-0.097806,-1.0149
840,3.9,241.02,3,180.77,0.79961,-0.097495,-1.0142
850,3.9,240.05,3,180.04,0.79834,-0.097184,-1.0136
860,3.9,239.08,3,179.31,0.79707,-0.096873,-1.0129
870,3.9,238.11,3,178.58,0.7958,-0.09656,-1.0122
880,3.9,237.15,3,177.86,0.79453,-0.096247,-1.0116
890,3.9,236.19,3,177.14,0.79326,-0.095933,-1.0109
900,3.9,235.23,3,176.42,0.79199,-0.095619,-1.0103
910,3.9,234.27,3,175.71,0.79072,-0.095304,-1.0096
920,3.9,233.32,3,174.99,0.78946,-0.094988,-1.009
930,3.9,232.38,3,174.28,0.78819,-0.094672,-1.0084
940,3.9,231.43,3,173.57,0.78693,-0.094355,-1.0077
950,3.9,230.49,3,172.87,0.78566,-0.094037,-1.0071
960,3.9,229.55,3,172.16,0.7844,-0.093718,-1.0065
970,3.9,228.61,3,171.46,0.78314,-0.093399,-1.0059
980,3.9,227.68,3,170.76,0.78188,-0.093079,-1.0053
990,3.9,226.75,3,170.06,0.78061,-0.092759,-1.0047
1000,3.9,225.83,3,169.37,0.77936,-0.092438,-1.0041
1010,3.9,224.9,3,168.68,0.7781,-0.092116,-1.0035
1020,3.9,223.98,3,167.99,0.77684,-0.091794,-1.0029
1030,3.9,223.07,3,167.3,0.77558,-0.091471,-1.0023
1040,3.9,222.15,3,166.62,0.77433,-0.091148,-1.0018
1050,3.9,221.24,3,165.93,0.77307,-0.090823,-1.0012
1060,3.9,220.34,3,165.25,0.77182,-0.090499,-1.0006
1070,3.9,219.43,3,164.58,0.77057,-0.090173,-1.0001
1080,3.9,218.53,3,163.9,0.76932,-0.089847,-0.99955
1090,3.9,217.64,3,163.23,0.76807,-0.089521,-0.99901
1100,3.9,216.74,3,162.56,0.76682,-0.089194,-0.99847
1110,3.9,215.85,3,161.89,0.76557,-0.088866,-0.99794
1120,3.9,214.97,3,161.23,0.76432,-0.088538,-0.99742
1130,3.9,214.08,3,160.56,0.76308,-0.088209,-0.9969
1140,3.9,213.2,3,159.9,0.76183,-0.08788,-0.99639
1150,3.9,212.33,3,159.24,0.76059,-0.08755,-0.99588
1160,3.9,211.45,3,158.59,0.75935,-0.08722,-0.99538
1170,3.9,210.58,3,157.94,0.75811,-0.086889,-0.99489
1180,3.9,209.71,3,157.29,0.75687,-0.086557,-0.9944
1190,3.9,208.85,3,156.64,0.75563,-0.086225,-0.99392
1200,3.9,207.99,3,155.99,0.7544,-0.085893,-0.99344
1210,3.9,207.13,3,155.35,0.75316,-0.08556,-0.99297
1220,3.9,206.28,3,154.71,0.75193,-0.085227,-0.9925
1230,3.9,205.43,3,154.07,0.7507,-0.084893,-0.99204
1240,3.9,204.58,3,153.44,0.74947,-0.084559,-0.99159
1250,3.9,203.74,3,152.8,0.74824,-0.084224,-0.99114
1260,3.9,202.9,3,152.17,0.74701,-0.083889,-0.99069
1270,3.9,202.06,3,151.54,0.74579,-0.083553,-0.99026
1280,3.9,201.22,3,150.92,0.74457,-0.083217,-0.98983
1290,3.9,200.39,3,150.3,0.74334,-0.082881,-0.9894
1300,3.9,199.57,3,149.68,0.74212,-0.082544,-0.98898
1310,3.9,198.74,3,149.06,0.7409,-0.082207,-0.98857
1320,3.9,197.92,3,148.44,0.73969,-0.08187,-0.98816
1330,3.9,197.11,3,147.83,0.73847,-0.081532,-0.98775
1340,3.9,196.29,3,147.22,0.73726,-0.081194,-0.98736
