time,glc_pp,lac_pp,glc,lac,gly,gly_vol,f_glc_pp,f_lac_pp,f_glc,f_lac,f_gly
0,3.5,4,3.5,4,357.14,250,0,0,1.7228,-0.92784,-0.35967
60,3.5006,4.0087,5.4546,1.3364,353.37,247.36,0,0,-4.6057e-05,0.00019956,-0.057796
120,3.5011,4.0174,5.4519,1.3484,349.91,244.94,0,0,-4.6305e-05,0.0002002,-0.057637
180,3.5017,4.0261,5.4491,1.3604,346.46,242.52,0,0,-4.6567e-05,0.00020095,-0.057479
240,3.5023,4.0348,5.4463,1.3725,343.01,240.11,0,0,-4.6848e-05,0.00020154,-0.057321
300,3.5029,4.0435,5.4435,1.3846,339.58,237.7,0,0,-4.7145e-05,0.00020205,-0.057164
360,3.5034,4.0522,5.4406,1.3967,336.15,235.31,0,0,-4.747e-05,0.00020244,-0.057005
420,3.504,4.0609,5.4378,1.4089,332.74,232.92,0,0,-4.7791e-05,0.00020277,-0.056846
480,3.5046,4.0696,5.4349,1.4211,329.33,230.53,0,0,-4.8141e-05,0.000203,-0.056686
540,3.5051,4.0783,5.432,1.4333,325.94,228.15,0,0,-4.8496e-05,0.00020314,-0.056525
600,3.5057,4.087,5.4291,1.4455,322.55,225.78,0,0,-4.8875e-05,0.00020318,-0.056361
660,3.5063,4.0957,5.4261,1.4576,319.17,223.42,0,0,-4.9259e-05,0.00020314,-0.056196
720,3.5068,4.1044,5.4232,1.4698,315.81,221.06,0,0,-4.9665e-05,0.000203,-0.056028
780,3.5074,4.1131,5.4202,1.482,312.45,218.71,0,0,-5.0077e-05,0.00020279,-0.055857
840,3.508,4.1218,5.4172,1.4942,309.1,216.37,0,0,-5.0507e-05,0.00020249,-0.055683
900,3.5086,4.1305,5.4141,1.5063,305.77,214.04,0,0,-5.0944e-05,0.00020211,-0.055505
960,3.5091,4.1392,5.411,1.5184,302.44,211.71,0,0,-5.1404e-05,0.00020163,-0.055324
1020,3.5097,4.1479,5.4079,1.5305,299.13,209.39,0,0,-5.1873e-05,0.00020108,-0.055139
1080,3.5103,4.1566,5.4048,1.5425,295.83,207.08,0,0,-5.2338e-05,0.00020046,-0.054949
1140,3.5108,4.1653,5.4017,1.5546,292.53,204.77,0,0,-5.2832e-05,0.00019974,-0.054755
1200,3.5114,4.174,5.3985,1.5665,289.25,202.48,0,0,-5.3335e-05,0.00019894,-0.054556
1260,3.512,4.1827,5.3953,1.5784,285.99,200.19,0,0,-5.3833e-05,0.00019807,-0.054353
1320,3.5125,4.1914,5.392,1.5903,282.73,197.91,0,0,-5.4317e-05,0.00019715,-0.054143
1380,3.5131,4.2001,5.3887,1.6021,279.49,195.64,0,0,-5.484e-05,0.00019612,-0.053929
1440,3.5137,4.2088,5.3854,1.6138,276.26,193.38,0,0,-5.5364e-05,0.00019503,-0.053708
1500,3.5143,4.2175,5.3821,1.6255,273.05,191.13,0,0,-5.5874e-05,0.00019388,-0.053481
1560,3.5148,4.2262,5.3787,1.6371,269.84,188.89,0,0,-5.6383e-05,0.00019268,-0.053249
1620,3.5154,4.2349,5.3754,1.6486,266.66,186.66,0,0,-5.6919e-05,0.00019138,-0.053009
1680,3.516,4.2436,5.3719,1.6601,263.48,184.44,0,0,-5.7448e-05,0.00019003,-0.052764
